"site","service","id","is_active","type","desc","category","security_app","info0","info1","attr0","attr1","attr2","attr3","attr4","attr5","attr6","attr7","attr8","attr9","attr10","attr11","attr12","attr13","attr14","attr15","attr16","attr17","attr18","attr19","attr20","attr21","attr22","attr23","attr24","attr25","attr26","attr27","attr28","attr29","attr30","attr31","attr32","attr33","attr34","attr35","attr36","attr37","attr38","attr39","comment","table0","table1","table2","table3","table4","table5","table6","table7","table8","table9","table10","table11","table12","table13","table14","table15","table16","table17","table18","table19","table20","table21","table22","table23","table24","table25","table26","table27","table28","table29","table30","table31","table32","table33","table34","table35","table36","table37","table38","table39","table40","table41","table42","table43","table44","table45","table46","table47","table48","table49","table50","table51","table52","table53","table54","table55","table56","table57","table58","table59","yes_no0","yes_no1","yes_no2","yes_no3","yes_no4","yes_no5","yes_no6","yes_no7","yes_no8","yes_no9","yes_no10","yes_no11","yes_no12","yes_no13","yes_no14","yes_no15","yes_no16","yes_no17","yes_no18","yes_no19"
TEXAS,UIS,9C_12_POND,Y,REMDEV,9C-12 Frac Pond,REMDEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TEXAS,UIS,9C_12_WEST,Y,TOWSCADA,9C 12 West,DDSFAC,,20171103,Polling,,,9C_12_POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX,BARNHART,BARNE3,,71603,,PND,,,,,,,,9C12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TEXAS,UIS,9_27W_1,Y,TOWSCADA,9-27 #1,DDSFAC,,20130915,Poll,,,9_28W_POND,,,,,,,,,,,,,,,,,,,,,,,N31*14.726',W101*36.875',,,,,,,,,,,,,,,TX,BARNHART,BARNE3,,71156,,PND,,,,71074,,,,928W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TEXAS,UIS,9_27W_2,Y,TOWSCADA,9-27 #2,DDSFAC,,20130915,Poll,,,9_28W_POND,,,,,,,,,,,,,,,,,,,,,,,N31*14.733',W101*36.875',,,,,,,,,,,,,,,TX,BARNHART,BARNE3,,71156,,PND,,,,71074,,,,928W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TEXAS,UIS,9_28E_1,Y,TOWSCADA,9-28 East #1,DDSFAC,,20171105,Poll,,,9_28E_POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX,BARNHART,BARNE3,,71157,,PND,,,,,,,,928E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TEXAS,UIS,9_28E_POND,Y,REMDEV,9-28 East Frac Pond,REMDEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TEXAS,UIS,9_28W_1,Y,TOWSCADA,9-28 #1,DDSFAC,,20130915,Poll,,,9_28W_POND,,,,,,,,,,,,,,,,,,,,,,,N31*14.313',W101*36.752',,,,,,,,,,,,,,,TX,BARNHART,BARNE3,,71156,,PND,,,,71072,,,,928W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TEXAS,UIS,9_28W_2,Y,TOWSCADA,9-28 #2,DDSFAC,,20130915,Poll,,,9_28W_POND,,,,,,,,,,,,,,,,,,,,,,,N31*14.117',W101*36.801',,,,,,,,,,,,,,,TX,BARNHART,BARNE3,,71156,,PND,,,,71073,,,,928W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TEXAS,UIS,9_28W_3,Y,TOWSCADA,9-28 #3,DDSFAC,,20130915,Poll,,,9_28W_POND,,,,,,,,,,,,,,,,,,,,,,,N31*13.838',W101*36.793',,,,,,,,,,,,,,,TX,BARNHART,BARNE3,,71156,,PND,,,,71075,,,,928W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TEXAS,UIS,9_28W_4,Y,TOWSCADA,9-28 #4,DDSFAC,,20130915,Poll,,,9_28W_POND,,,,,,,,,,,,,,,,,,,,,,,N31*14.513',W101*36.815',,,,,,,,,,,,,,,TX,BARNHART,BARNE3,,71156,,PND,,,,71071,,,,928W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
